"id","hsncode","name",,"gst_tax_ids:id","gst_supplier_tax_ids:id","igst_tax_ids:id","igst_supplier_tax_ids:id"
"03030000","03030000","Fish, Frozen (excluding fish fillets and other fish meat)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03031000","03031000","Pacific salmon (oncorhynchus spp), excludinglivers and roes:","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03031100","03031100","Chinook (king)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03031200","03031200","Chum (dog)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03031300","03031300","Pink (humpie)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03031400","03031400","Sockeye (red)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03031500","03031500","Coho (silver)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03031600","03031600","Other , other salmonidae, excluding livers and roes:","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03032100","03032100","Trout (salmo trutta, salmo gairdneri, salmo, clarki, salmo aguabonita, salmo gilae)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03032200","03032200","Tlantic salmon (salmo salar) and danube salmon (hucho hucho)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03032900","03032900","Other flat fish (pleuronectidae, bothidae, cynoglossidae,soleidae, scophthalmidae and citharidae), excluding livers and roes:","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03033100","03033100","Halibut and greenland turbot (reinhardtius, hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis):","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03033200","03033200","Plaice (pleuronectes platessa)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03033300","03033300","Sole (solea spp)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03033900","03033900","Tunas (of genus thunnus), skipjack or stripe-bellied bonito (euthynnus (katsuwonus pelamis), excluding livers and roes:","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03034100","03034100","Albacore or longfinned tunas (thunnus alalunga)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03034200  ","03034200  ","Yellowfin tunas (thunnus albacares)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03034300  ","03034300  ","Skipjack or stripe-bellied bonito","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03034900","03034900","Bluefin (thunnus thynnus)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03035000","03035000","Herrings (clupea harengus, clupea pallasii),excluding livers and roes","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03036000","03036000","Cod (gadus morhua, gadus ogac, gadus macrocephalus), other fish, excluding livers and roes:","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03037100","03037100","Sardines (sardina pilchardus, sardinops spp), sardinella (sardinella spp), brisling or sprats(sprattus sprattus)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03037200","03037200","Haddock (melanogrammus aeglefinus)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03037300","03037300","Atlantic pollock (pollachius virens)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03037400","03037400","Mackerel (scomber scombrus, scomber australasicus, scomber japonicus)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03037500","03037500","Dogfish and other sharks, dogfish (squalus spp)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03037600","03037600","Eels (anguilla spp)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03037700","03037700","Sea bass (dicentrarchus labrax, dicentrarchus punctatus)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03037800","03037800","Whiting (merluccius spp) and hake (urophycis spp)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03037900","03037900","Tilapia (tilapiinae), mullet , monkfish (lophius spp), butterfish, sablefish (anoplopoma fimbria)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03038000","03038000","Livers and roes sturgeon roe , herring roe, salmon roe alaska pollock (theragra chalcogramma) roe mullet roe","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03040000","03040000","Fish fillets and other fish meat (whether or not minced), frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03041000","03041000","Frozen: tilapia (tilapiinae) ","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03042100","03042100","Sword fish (Xiphias gladius) - frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03042200","03042200","Tooth fish (Dissostichus spp.) - frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03042900","03042900","Other - Hilsa, shark, seer, tuna, cuttlefish - frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03042000","03042000","Frozen fillets: cod halibut , fresh-water catfish, tilapia (tilapiinae) alaska pollock (theragra chalcogramma)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03049000","03049000","Other: minced: surim, alaska pollock (theragra chalcogramma) - frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03050000","03050000","Fish, dried, salted or in brine; smoked fish; whether or not cooked before or during the smoking process; flours, meals and pellets, of fish fit for human consumption","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03051000","03051000","Flours, meals and pellets of fish, fit for human consumption","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03052000","03052000","Livers and roes, dried, smoked, salted or in brine, salmon roe, herring roe","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03053000","03053000","Fish fillets, dried, salted or in brine, but not smoked smoked fish, including fillets:","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03054100","03054100","Pacific salmon (oncorhynchus spp), atlantic salmon (salmo salar) and danube salmon (hucho hucho)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03054200","03054200","Herrings (clupea harengus, clupea pallasii)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03054900","03054900","Other, dried fish, whether or not salted but not smoked:","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03055100","03055100","Cod (gadus morhua, gadus ogac, gadus macrocephalus)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03055900","03055900","Other fish, salted but not dried or smoked and fish in brin","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03056100","03056100","Herrings (clupea harengus, clupea pallasii)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03056200","03056200","Cod (gadus morhua, gadus ogac, gadus macrocephalus)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03056300","03056300","Anchovies (engraulis spp)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03056900","03056900","Other fish (salted or in brine)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03060000","03060000","Crustaceans, whether in shell or not, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, frozen, dried, salted or in brine; flours, meals and pellets of crustaceans, fit for human consumption.","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03061100","03061100","Rock lobster and other sea crawfish - frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03061200","03061200","Lobsters (homarus spp)- frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03061300","03061300","Shrimps and prawns - frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03061400","03061400","Crabs: crabmeat - frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03061900","03061900","Other, including flours, meals and pellets of crustaceans, fit for human consumption - frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"03062900","03062900","Other, including flours, meals and pellets of crustaceans, fit for human consumption - not frozen","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
