"id","hsncode","name","gst_tax_ids:id"
"01042000","01042000","Goats","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"01050000","01050000","Chickens, ducks, geese, turkeys, and guineas, live","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"01051100","01051100","Chickens, breeding stock, whether or not purebred: layer-type (egg-type) , broiler-type (meat-type)","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"01051900","01051900","Turkeys, ducks, geese and guineas","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"01059100","01059100","Chickens","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"02044300","02044300","Boneless - frozen","GSTO12,GSTI12,IGSTO12,IGSTI12,UGSTO12,UGSTI12"
"02045000","02045000","Meat of goats - frozen","GSTO12,GSTI12,IGSTO12,IGSTI12,UGSTO12,UGSTI12"
"02062100","02062100","Tongues - fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"02062200","02062200","Livers - fresh and chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"02070000","02070000","Meat & edible offal of poultry, fresh and chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"02070000","02070000","Meat & edible offal of poultry, frozen","GSTO12,GSTI12,IGSTO12,IGSTI12,UGSTO12,UGSTI12"
"02071400","02071400","Meat & edible offal of poultry, fresh or chilled of fowls cuts and offal","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"03061100","03061100","Rock lobster and other sea crawfish - frozen","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"03061200","03061200","Lobsters (homarus spp)- frozen","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"03061300","03061300","Shrimps and prawns - frozen","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"03062400","03062400","Crabs: crabmeat - not frozen","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"03071000","03071000","Oysters - Live, fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"03073100","03073100","Farmed, cuttle fish (sepia officinalis, rossia macrosoma,sepiola spp) and squid (ommastrephes spp, loligo spp, nototodarus spp, sepioteuthis spp): live, fresh and chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"03073910","03073910","Clams, clam meat - live, fresh and chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"03074100","03074100","Live, fresh or chilled: squid: loligo","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"04010000","04010000","Fresh milk and pateurised milk, including separated milk, milk and cream, not concentrated nor containing added sugar or other sweetening matter  (Excluding Ultra high temperature (UTH) milk","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"04010000","04010000","Ultra high temperature (UTH) milk","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"04011000","04011000","Fresh Milk of a fat content, by weight, not exceeding 1 percent liters","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"04021010","04021010","Skimmed milk powder and UHT milk","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"04022900","04022900","Milk, cream (sweetened, fat content exceeding 15%)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"04022910","04022910","Whole Milk (sweetened, fat content exceeding 15%)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"04022920","04022920","Milk powder for babies (sweetened, fat content exceeding 15%)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"04029920","04029920","Condensed milk - Not containing added sugar or other sweetening matter","GSTO18,GSTI18,IGSTO18,IGSTI18,UGSTO18,UGSTI18"
"04031000","04031000","Yogurt","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"04039000","04039000","Buttermilk","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"04039000","04039000","Curd","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"04039000","04039000","Lassi","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"04051000","04051000","Butter","GSTO12,GSTI12,IGSTO12,IGSTI12,UGSTO12,UGSTI12"
"04052000","04052000","Dairy spreads","GSTO12,GSTI12,IGSTO12,IGSTI12,UGSTO12,UGSTI12"
"04059010","04059010","Butter oil","GSTO12,GSTI12,IGSTO12,IGSTI12,UGSTO12,UGSTI12"
"04059020","04059020","Ghee","GSTO12,GSTI12,IGSTO12,IGSTI12,UGSTO12,UGSTI12"
"04060000","04060000","Chena or paneer","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"04070090","04070090","Birds' eggs, in shell, fresh, preserved or cooked:Other","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"04081100","04081100","Egg yolks (dried)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"04081900","04081900","Egg yolks (fresh, frozen, other preserved; not dried)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"04090000","04090000","Natural Honey, other than put up in unit containiner and bearing a registered brand name","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"04091000","04091000","Natural honey","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"06031100","06031100","Fresh roses","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"06031200","06031200","Fresh carnations","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"06031300","06031300","Fresh orchids","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"06031400","06031400","Fresh chrysanthemums","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"06039000","06039000","Cut flowers and flower buds (dried, dyed, bleached, otherwise prepared)","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"06040000","06040000","Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental puposes, fresh, dried, dyed, bleached, imregnated or otherwise prepared","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"06041000","06041000","Mosses and lichens","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"06049900","06049900","Foliage, branches, other parts of plants; grass (dried, otherwise prepared)","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07010000","07010000","Potatoes fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07011000","07011000","Potato Seed","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07020000","07020000","Tomatoes, fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07021000","07021000","Cherry","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07023000","07023000","Roma (plum type)","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07030000","07030000","Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07031000","07031000","Onions and shallots: onion sets","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07032000","07032000","Garlic","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07039000","07039000","Leeks and other alliaceous vegetables","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07040000","07040000","Cabbages, cauliflower, kohlrabi, kale and similar edible brassicas, fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07041000","07041000","Cauliflower and headed broccoli (brassica oleracea, var botrytis)","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07042000","07042000","Brussels sprouts","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07049000","07049000","Other (including sprouting broccoli, (brassica oleracea var italica), cabbage, broccoli","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07050000","07050000","Lettuce (Lactucasativa) and chicory (cichorium spp.), fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
